pagehank,source
0.020114075236695,1
0.0037774593140490783,2
0.00070613775986575,3
0.004646794071595691,4
0.00034909357973384597,3414
0.0019045664108884217,6
0.007011005736366432,7
0.0006185941362236855,8
0.00034909357973384597,9
0.0008629615464473772,10
0.0028479695055267616,4107
0.0014365751135321269,13
0.00034909357973384597,2063
0.0005934609899575378,16
0.0019045664108884217,17
0.00034909357973384597,19
0.0004974989317225793,20
0.0015846011755477132,21
0.0018020048654330656,2070
0.001943133236372814,23
0.00034909357973384597,5480
0.012128212156843817,25
0.0009782431600226873,2076
0.0004023495183263213,29
0.0006654507609083268,2078
0.000645904283711313,2079
0.002660552642064376,2080
0.0022153208912917216,33
0.0011038037579797367,2082
0.006059549548395814,35
0.0037164600694988416,39
0.00034909357973384597,4136
0.0020880452545256295,41
0.0014766813888943025,4899
0.0006459042837113146,45
0.0007395249368920381,4144
0.0023106834443185832,51
0.00034909357973384597,4150
0.004427217604828667,57
0.002390709698354751,60
0.00034909357973384597,61
0.00070613775986575,62
0.0024089547584495055,64
0.00034909357973384597,4163
0.00034909357973384597,4164
0.006373284882278465,2118
0.00034909357973384597,71
0.00034909357973384597,4168
0.00231068344431858,5132
0.00978607699245417,4172
0.003719331245076466,2125
0.001080471942640501,2127
0.00034909357973384597,80
0.0006459042837113144,81
0.00034909357973384597,2132
0.0023106834443185798,4181
0.00034909357973384597,88
0.0006185941362236855,93
0.00039856203039675725,2142
0.001321889064451063,3429
0.00034909357973384597,2144
0.00034909357973384597,4112
0.0023106834443185763,1708
0.0004974989317225793,101
0.0023106834443185798,4198
0.0013292220347867918,104
0.0004974989317225793,109
0.0004232962557282125,2158
0.0023106834443185824,111
0.00034909357973384597,113
0.001786062536790337,2067
0.00034909357973384597,4212
0.0011135056196897534,2165
0.001011738437158363,119
0.0006459042837113142,4217
0.00034909357973384597,4219
0.0004023495183263213,2173
0.00034909357973384597,2174
0.000779266961290396,127
0.0013430446238066305,2176
0.000497498931722579,5824
0.00034909357973384597,4226
0.00034909357973384597,132
0.0004232962557282125,134
0.0017479064530341074,135
0.0007720888524989374,4235
0.001050895671979263,2188
0.00034909357973384597,4237
0.0007395249368920381,4238
0.0005874095519571256,143
0.005565025254445453,144
0.00034909357973384597,149
0.0007683117935549,2198
0.00034909357973384597,4121
0.0005903000740027025,2200
0.0009427149876887821,159
0.0006879658066405219,160
0.0010179182337860383,4257
0.0023106834443185806,710
0.0007857914313842013,2214
0.0012328403713501922,167
0.00034909357973384597,4266
0.0009727148307434856,178
0.0021611282450212156,2230
0.0023106834443185832,184
0.00034909357973384597,4281
0.00034909357973384597,2240
0.002310683444318578,2241
0.0006072641626330839,4098
0.004782301175876394,4291
0.0019045664108884217,197
0.0008510183714789946,198
0.0032245936010549194,200
0.0006459042837113142,201
0.0061295885580760455,202
0.00034909357973384597,4301
0.00034909357973384597,4304
0.00034909357973384597,4308
0.000645904283711313,2262
0.0020212105781874526,215
0.000497498931722579,2266
0.00034909357973384597,219
0.001495085823658489,223
0.00034909357973384597,224
0.00034909357973384597,4322
0.0004900609697024049,1403
0.0025407184680044503,230
0.00034909357973384597,2087
0.0006459042837113144,2284
0.00034909357973384597,237
0.0025486963468801375,241
0.0023106834443185815,242
0.0023378241687575505,245
0.0008289642308955523,2296
0.0014329110334001234,249
0.0005587675135976788,4348
0.00034909357973384597,2303
0.0006459042837113131,5464
0.002641602140694373,2305
0.0006072641626330841,4354
0.0005903000740027025,5163
0.0005587675135976788,4356
0.00034909357973384597,2311
0.0035711745593818164,2313
0.00034909357973384597,4365
0.002310683444318579,270
0.00034909357973384597,4141
0.00034909357973384597,4369
0.0006459042837113146,278
0.00034909357973384597,279
0.0023106834443185746,280
0.0010117384371583623,283
0.0007792669612903953,284
0.002310683444318583,2342
0.00034909357973384597,2344
0.0008654347455323235,4393
0.0011069808471251357,2347
0.0023106834443185793,300
0.001931028592561327,2349
0.000794217504533778,4400
0.000489323730199261,309
0.00034909357973384597,3465
0.00034909357973384597,313
0.00034909357973384597,4415
0.0023106834443185867,2370
0.00034909357973384597,4421
0.0023792159889450865,2377
0.00034909357973384597,330
0.00034909357973384597,1763
0.00034909357973384597,340
0.0010776390723878902,342
0.0014071338283119868,1765
0.00034909357973384597,353
0.0006459042837113131,2404
0.002871616038877239,4649
0.00034909357973384597,2409
0.00034909357973384597,4458
0.0008510183714789946,363
0.00042329625572821246,2419
0.0008781179141346831,2110
0.0009930136385616778,1769
0.0006459042837113138,2427
0.0006459042837113139,4482
0.0006459042837113133,2437
0.001984284531153802,2438
0.0008567574532463844,395
0.00034909357973384597,397
0.00034909357973384597,2451
0.00034909357973384597,410
0.0018373968081113444,415
0.0023106834443185798,418
0.0007430873022927982,4515
0.00034909357973384597,2470
0.00034909357973384597,4519
0.00034909357973384597,2472
0.0011541100402252015,425
0.00039856203039675725,4522
0.00034909357973384597,4524
0.00034909357973384597,4531
0.0006459042837113131,2484
0.001401423818332769,2485
0.00034909357973384597,3487
0.0023106834443185754,2495
0.0005874095519571256,448
0.000765771926853701,4546
0.0023106834443185854,451
0.00034909357973384597,4549
0.00034909357973384597,4553
0.00034909357973384597,2507
0.0009427149876887812,4559
0.00034909357973384597,2512
0.001011738437158362,465
0.00034909357973384597,2516
0.0004974989317225793,4569
0.00034909357973384597,2523
0.00034909357973384597,4573
0.00034909357973384597,2128
0.00034909357973384597,4579
0.0006459042837113137,484
0.00034909357973384597,486
0.002310683444318585,489
0.0006185941362236855,490
0.0008765193835697929,492
0.0004023495183263213,493
0.00034909357973384597,4590
0.000645904283711314,2543
0.00034909357973384597,4592
0.00034909357973384597,4594
0.0023106834443185863,499
0.0007643544611694602,2548
0.00034909357973384597,2549
0.00034909357973384597,4521
0.0006459042837113143,4604
0.00034909357973384597,2540
0.0005874095519571256,3157
0.00034909357973384597,4609
0.0017091528647622627,4611
0.00034909357973384597,4612
0.002186532796279475,2566
0.004329312135774763,2567
0.004339385130070979,2568
0.00034909357973384597,2569
0.0004675437571919916,2570
0.0005859939346501375,2571
0.0023106834443185806,5759
0.000981741539953429,2574
0.0009769688669789727,5473
0.002310683444318586,529
0.000497498931722579,530
0.00034909357973384597,533
0.0005903000740027034,534
0.0004023495183263213,535
0.0004974989317225793,2585
0.0012394335604999794,4635
0.0007344005751899371,540
0.000590300074002704,4639
0.00034909357973384597,2592
0.0006459042837113131,545
0.0008871107779801695,546
0.0023106834443185854,547
0.00051668763584649,548
0.00044803048105966815,4646
0.0004974989317225793,2601
0.0006459042837113138,554
0.00034909357973384597,2603
0.00039856203039675725,4654
0.00095466951315582,4659
0.0005115194393656488,4661
0.000645904283711314,566
0.00034909357973384597,2825
0.00034909357973384597,2616
0.0023106834443185832,570
0.002310683444318583,571
0.0023106834443185854,769
0.0005455216265210938,4669
0.0005605912161163927,2622
0.0010372370357052323,2623
0.00034909357973384597,576
0.003112953389084461,2625
0.0006965315256815065,2628
0.00034909357973384597,581
0.0006965315256815065,2631
0.0005744262444682737,2632
0.0007370973681337388,2633
0.0004675437571919916,2634
0.004485189574406023,2635
0.00034909357973384597,588
0.00034909357973384597,2637
0.0006236835005102051,593
0.009620837707382252,2642
0.00034909357973384597,2644
0.0011155314568073325,4694
0.0068305332955429,2647
0.00034909357973384597,602
0.0006459042837113141,605
0.0005166876358464893,606
0.005368719153659241,361
0.0004402866641562708,2657
0.000497498931722579,610
0.00034909357973384597,2659
0.0006459042837113144,2661
0.00034909357973384597,2665
0.0004675437571919916,2666
0.0004402866641562708,2669
0.0005362699356736493,2670
0.003358363152166989,623
0.0013250482136375238,2672
0.0006459042837113131,2674
0.00034909357973384597,2675
0.00034909357973384597,628
0.00034909357973384597,2678
0.0007896638352466074,2680
0.00034909357973384597,4729
0.0007651555348842472,2682
0.0018338780189045437,2683
0.00034909357973384597,636
0.0011290424247066338,2685
0.0023106834443185824,2686
0.0004974989317225793,4735
0.0006459042837113139,2688
0.00034909357973384597,2693
0.0023106834443185845,650
0.0023106834443185845,651
0.001282780435592526,2700
0.0012370874669803806,2498
0.0023106834443185798,4205
0.0023106834443185793,4753
0.00034909357973384597,660
0.00034909357973384597,2711
0.00034909357973384597,5614
0.00034909357973384597,4698
0.00034909357973384597,2720
0.00044803048105966815,2721
0.00034909357973384597,977
0.0005887719906141312,1318
0.0007857914313842013,2725
0.0033583631521669883,678
0.0008129490965862548,2733
0.00034909357973384597,687
0.00034909357973384597,2738
0.00034909357973384597,691
